4b72a75e-b325-45f1-24d7-b1a01ce265fa,20,Scattered Circle Chart,3,2,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,27,Scattered Circle Chart,64,70,2.614709844
4b72a75e-b325-45f1-24d7-b1a01ce265fa,29,Scattered Circle Chart,42,40,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,33,Scattered Circle Chart,73,90,4.098032083
4b72a75e-b325-45f1-24d7-b1a01ce265fa,34,Scattered Circle Chart,32,20,3.599912842
4b72a75e-b325-45f1-24d7-b1a01ce265fa,37,Scattered Circle Chart,55,40,3.918863237
4b72a75e-b325-45f1-24d7-b1a01ce265fa,39,Scattered Circle Chart,75,80,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,40,Scattered Circle Chart,15,5,3.339850003
4b72a75e-b325-45f1-24d7-b1a01ce265fa,44,Scattered Circle Chart,27,8,4.257387843
4b72a75e-b325-45f1-24d7-b1a01ce265fa,47,Scattered Circle Chart,2,1,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,48,Scattered Circle Chart,62,60,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,51,Scattered Circle Chart,65,70,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,55,Scattered Circle Chart,94,95,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,57,Scattered Circle Chart,66,90,4.592457037
4b72a75e-b325-45f1-24d7-b1a01ce265fa,58,Scattered Circle Chart,24,15,3.189824559
4b72a75e-b325-45f1-24d7-b1a01ce265fa,59,Scattered Circle Chart,32,30,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,60,Scattered Circle Chart,94,90,2.0443941193584534]
